M, Cohen, Frédéric, M9, 02:34:46
M, Peter, Christian, M9, 01:41:27
M, Tavernier, Bernard, M6, 02:11:23
M, Santoni, Alain, M1, 01:37:04
M, Declercq, Georges, M5, 01:36:29
M, Baud, David, M8, 01:56:29
M, Levesque, Guy, M5, 01:38:19
M, Duflot, Cédric, ELITE_1, 02:30:14
M, Grignon, Kevin, M6, 02:25:43
M, Taupin, Jean-Luc, M1, 02:52:29
M, Pierron, Jean-Michel, M2, 01:14:08
M, Duvivier, Fabrice, M7, 01:56:08
M, Legrand, Charles, M1, 01:33:18
M, Mathis, Joël, ELITE_1, 01:54:32
M, Mille, Maurice, M2, 02:05:48
M, Durant, Maurice, ELITE_1, 02:03:02
M, Giry, Bruno, M7, 01:38:56
M, Allart, Adrien, ELITE_1, 02:51:08
M, Perez, Alain, M8, 01:55:02
M, Bonnot, Yves, M9, 01:19:30
M, Marot, Maxime, M5, 02:33
M, Leblanc, Francis, M1, 01:03:41
M, Blais, Joël, M4, 01:13:11
M, Henaff, Claude, ELITE_2, 02:37:06
M, Baudin, François, M7, 02:48:32
M, Berry, Yves, M4, 01:23:14
M, Lescure, Raymond, M3, 02:37:44
M, Le, Jonathan, M4, 01:01:51
M, Pinson, Richard, M3, 02:10:07
M, Poirier, Florian, M6, 01:57:12
M, Chartier, Sébastien, M2, 01:50:13
M, Barbet, Olivier, M9, 01:11:56
M, Perret, Guy, M2, 01:43:15
M, Delplanque, François, ELITE_1, 01:51:12
M, Bourcier, Michel, M2, 02:23:48
M, Ruiz, René, M7, 01:48:42
M, Busson, Robert, ELITE_1, 02:04:57
M, Sellier, Jean-Paul, M1, 02:32:41
M, Gressier, Richard, M8, 02:56:43
M, Kohler, Albert, M7, 02:56:26
M, Fontaine, Xavier, M1, 02:01:52
M, Laborde, Thomas, M1, 01:25:06
M, Parisot, Emile, ELITE_2, 02:34:54
M, Michelet, Philippe, M7, 01:53:22
M, Hery, Dominique, ELITE_1, 02:25:13
M, Delcroix, Bruno, M1, 01:18:43
M, Goetz, Sylvain, M6, 01:41:12
M, Harel, Antoine, M3, 01:43:37
M, Fontaine, Jean-François, M8, 01:43:20
M, Gayet, Roger, M6, 02:51:25
M, Marie, Jérôme, M1, 01:03:53
M, Faivre, Gérard, M6, 01:55:26
M, Camus, Florian, M7, 02:09:46
M, Decroix, Nicolas, M2, 01:48:38
M, Denys, Olivier, M7, 01:17:48
M, Molinier, Damien, M3, 01:53:09
M, Raymond, Cyril, M5, 01:11:11
M, Bordas, Joël, M5, 02:35:47
M, Maury, Denis, M5, 01:22:55
M, Quere, Jean-Luc, M1, 02:38:24
M, Bergeret, Jean-Claude, M3, 02:44:22
M, Olive, Albert, M4, 01:45:32
M, Duez, Jérémy, M6, 02:43:17
M, Santos, Fabrice, ELITE_2, 01:06:27
M, Burel, Guillaume, M6, 01:10:01
M, Jaffre, René, M1, 02:08:02
M, Couret, Daniel, M6, 01:03:21
M, Letellier, Mickaël, M1, 01:46:14
M, Joly, Vincent, M9, 02:43:56
M, Lefrancois, Robert, M3, 02:16:54
M, Gonzalez, Raymond, M9, 01:55:26
M, Salmon, Marc, M4, 02:12:57
M, Guy, Hervé, M7, 01:31:17
M, Pastor, Claude, M4, 02:08:52
M, Philibert, Jérôme, ELITE_1, 01:48:38
M, Cros, Richard, M7, 01:45:53
M, Lebreton, Emmanuel, ELITE_2, 01:27:48
M, Saillard, Didier, M3, 01:17:50
M, Lucas, Michel, M5, 01:08:41
M, Tran, Roland, M6, 02:21:45
M, Ducrot, Damien, ELITE_2, 01:36:43
M, Rossignol, Jean, ELITE_2, 01:58:43
M, Marais, Alexis, M8, 02:57:10
M, Vaillant, Claude, M8, 01:21:20
M, Cornu, Serge, M5, 01:53:49
M, Vilain, Jacques, M1, 02:44:05
M, Sergent, Julien, M8, 02:29:21
M, Canu, Georges, M5, 01:55:53
M, Compagnon, Benoît, M8, 01:18:49
M, Delacour, Jean-Pierre, M8, 01:13:18
M, Gabriel, Xavier, M6, 02:19:33
M, Rabier, Gérard, M8, 02:35:13
M, Delacour, Guillaume, M6, 02:19:36
M, Hardouin, Jean-François, M9, 02:04:20
M, Delhaye, Emile, ELITE_2, 01:13:45
M, Schwartz, Jean-Luc, ELITE_1, 02:08:06
M, Savin, Roland, M6, 02:38:53
M, Courtin, Hervé, M3, 02:49:15
M, Chevrier, Louis, M2, 02:40:12
M, Grand, Jean, M7, 02:18:54
M, Cohen, Frédéric, M1, 02:16:01
M, Peter, Christian, M8, 01:52:01
M, Tavernier, Bernard, M5, 02:37:23
M, Santoni, Alain, M2, 01:57:20
M, Declercq, Georges, ELITE_1, 01:01:22
M, Baud, David, M5, 02:10:30
M, Levesque, Guy, M7, 02:50:21
M, Duflot, Cédric, M3, 02:07:39
M, Grignon, Kevin, ELITE_1, 01:09:49
M, Taupin, Jean-Luc, M1, 01:40:04
M, Pierron, Jean-Michel, M9, 02:30:46
M, Duvivier, Fabrice, M4, 02:47:55
M, Legrand, Charles, M4, 02:51:58
M, Mathis, Joël, ELITE_2, 02:38:26
M, Mille, Maurice, M9, 02:54:51
M, Durant, Maurice, ELITE_2, 01:36:05
M, Giry, Bruno, M6, 01:48:17
M, Allart, Adrien, M8, 01:38:17
M, Perez, Alain, M2, 01:29:10
M, Bonnot, Yves, M9, 01:23:53
M, Marot, Maxime, M1, 02:43:41
M, Leblanc, Francis, M4, 02:51:23
M, Blais, Joël, M6, 01:02:12
M, Henaff, Claude, M1, 02:05:08
M, Baudin, François, M4, 02:43:44
M, Berry, Yves, M4, 01:39:33
M, Lescure, Raymond, M8, 02:57:46
M, Le, Jonathan, M3, 01:49:57
M, Pinson, Richard, M9, 02:00
M, Poirier, Florian, M5, 02:46:11
M, Chartier, Sébastien, M2, 02:27:09
M, Barbet, Olivier, M3, 02:32:37
M, Perret, Guy, M2, 01:27:07
M, Delplanque, François, ELITE_1, 02:42:56
M, Bourcier, Michel, M1, 01:19:37
M, Ruiz, René, ELITE_1, 02:30:22
M, Busson, Robert, M1, 01:55:20
M, Sellier, Jean-Paul, M5, 02:57:07
M, Gressier, Richard, M2, 01:09:55
M, Kohler, Albert, ELITE_2, 01:26:58
M, Fontaine, Xavier, M5, 01:46:57
M, Laborde, Thomas, M9, 01:30:55
M, Parisot, Emile, ELITE_1, 01:28:47
M, Michelet, Philippe, M3, 01:35:54
M, Hery, Dominique, M4, 02:55:53
M, Delcroix, Bruno, M9, 02:48:52
M, Goetz, Sylvain, M7, 02:37:23
M, Harel, Antoine, M3, 01:28:15
M, Fontaine, Jean-François, M6, 02:22:51
M, Gayet, Roger, M8, 02:46:13
M, Marie, Jérôme, M8, 02:19:37
M, Faivre, Gérard, M8, 02:28:27
M, Camus, Florian, M3, 02:51:25
M, Decroix, Nicolas, M3, 01:31:56
M, Denys, Olivier, M9, 01:12:59
M, Molinier, Damien, M5, 01:13:50
M, Raymond, Cyril, M4, 01:41:24
M, Bordas, Joël, M6, 02:11:09
M, Maury, Denis, M3, 01:10:50
M, Quere, Jean-Luc, ELITE_2, 02:57:33
M, Bergeret, Jean-Claude, M4, 01:35:11
M, Olive, Albert, M8, 01:52:56
M, Duez, Jérémy, ELITE_2, 02:16:05
M, Santos, Fabrice, M3, 01:02:21
M, Burel, Guillaume, M5, 02:55:52
M, Jaffre, René, M6, 01:47:28
M, Couret, Daniel, M9, 01:24:48
M, Letellier, Mickaël, M2, 01:51:53
M, Joly, Vincent, M6, 01:52:34
M, Lefrancois, Robert, M4, 01:00:05
M, Gonzalez, Raymond, M4, 02:43:42
M, Salmon, Marc, M6, 02:30:10
M, Guy, Hervé, M8, 01:12:09
M, Pastor, Claude, M6, 01:21:44
M, Philibert, Jérôme, M4, 01:25:43
M, Cros, Richard, M9, 02:15:56
M, Lebreton, Emmanuel, M8, 02:50:21
M, Saillard, Didier, M8, 02:44:17
M, Lucas, Michel, M4, 01:30:26
M, Tran, Roland, M7, 02:52:20
M, Ducrot, Damien, M3, 02:10:43
M, Rossignol, Jean, M7, 02:34:14
M, Marais, Alexis, M9, 02:42:05
M, Vaillant, Claude, M5, 01:09:50
M, Cornu, Serge, M6, 01:55:16
M, Vilain, Jacques, M5, 01:55:08
M, Sergent, Julien, M5, 01:19:11
M, Canu, Georges, M3, 01:18:31
M, Compagnon, Benoît, M1, 02:17:44
M, Delacour, Jean-Pierre, M4, 02:40:02
M, Gabriel, Xavier, M6, 01:14:10
M, Rabier, Gérard, ELITE_2, 01:58:43
M, Delacour, Guillaume, M6, 02:36:07
M, Hardouin, Jean-François, ELITE_2, 02:28:09
M, Delhaye, Emile, M3, 01:44:25
M, Schwartz, Jean-Luc, M1, 01:05:02
M, Savin, Roland, M8, 01:00:25
M, Courtin, Hervé, M1, 02:53:15
M, Chevrier, Louis, M7, 02:09:40
M, Grand, Jean, M4, 02:52:44
M, Garreau, Kevin, M1, 01:37:56
M, Bo, Stéphane, M5, 01:05:23
M, Granger, Romain, ELITE_2, 02:21:05
M, Deprez, Jean-Michel, M6, 01:27:07
M, Herman, Adrien, ELITE_2, 02:59:01
M, Veron, René, M1, 01:39:17
