F, Achard, Anna, M7, 5712
F, Adam, Luna, M3, 6314
F, Adam, Capucine, ELITE_1, 4592
M, Allain, Cédric, M1, 8858
M, Allais, Cédric, M1, 8910
M, Allart, Adrien, M8, 4229
M, Allart, Adrien, ELITE_1, 9975
F, Alonso, Elisa, M7, 4867
M, Anquetil, Kevin, M4, 6382
M, Arnault, Mickaël, ELITE_1, 9994
M, Auge, Cédric, M8, 7274
M, Autret, Jérémy, M3, 10209
F, Aymard, Alicia, M3, 8075
F, Babin, Lina, M6, 8000
M, Babin, Lucien, M6, 6291
M, Bachelet, Emmanuel, ELITE_2, 7902
F, Bachelier, Ines, M8, 6592
F, Bachelier, Salome, M2, 7224
F, Baillet, Romane, M8, 8344
F, Balland, Capucine, M5, 4621
M, Barbet, Olivier, M9, 5821
M, Barbet, Olivier, M3, 9562
F, Bardon, Ambre, ELITE_2, 9605
M, Bardon, Guy, ELITE_1, 5392
F, Baret, Marie, ELITE_2, 5704
F, Barra, Morgane, M1, 8818
M, Barre, Thomas, M3, 4996
F, Barret, Marine, M9, 10467
F, Barriere, Marine, M6, 6807
M, Barriere, Marc, M2, 7580
F, Barrois, Andrea, ELITE_2, 4265
F, Barth, Marion, M7, 7889
M, Barth, Jean-François, M6, 7144
F, Barthe, Juliette, M9, 7549
F, Barthe, Mathilde, M6, 5604
F, Basset, Laura, M4, 8324
F, Basset, Gabrielle, M2, 8273
M, Bastien, Guillaume, M6, 10290
F, Bastien, Cloe, M3, 4308
F, Bataille, Carla, M1, 9557
M, Baud, David, M8, 7469
M, Baud, David, M5, 4073
M, Baudin, François, M7, 6928
F, Baudin, Gabrielle, M5, 4722
M, Baudin, François, M4, 8741
M, Baudoin, David, M4, 6008
F, Bauduin, Ines, M4, 4513
M, Bauduin, Maurice, M1, 8970
M, Baumann, Mathieu, ELITE_1, 5129
F, Bayle, Lola, M2, 3782
F, Beaudoin, Ines, ELITE_1, 5498
M, Beaugrand, Jonathan, M4, 4276
F, Beaulieu, Lea, M7, 4582
F, Beaulieu, Gabrielle, M5, 10080
F, Bechet, Maelle, M6, 8721
F, Beck, Melissa, M7, 7920
F, Belliard, Camille, M3, 7786
M, Benhamou, Mickaël, M7, 10068
F, Benoist, Leane, M5, 9516
M, Benoist, Jean-François, M3, 9019
M, Berard, Raymond, M7, 5269
F, Beraud, Faustine, M2, 7235
F, Beraud, Louane, ELITE_1, 4564
M, Bergeret, Jean-Claude, M4, 7760
M, Bergeret, Jean-Claude, M3, 10373
M, Bernard, Cyril, M5, 8718
F, Bernard, Loane, ELITE_1, 6870
F, Bernardin, Morgane, M4, 10588
F, Berne, Clementine, M3, 7209
F, Bernet, Sofia, M5, 5022
F, Bernier, Carla, M1, 8007
M, Berry, Yves, M4, 7430
M, Berry, Yves, M4, 3857
M, Bertaux, Francis, M6, 4473
F, Berthelot, Angelina, ELITE_1, 9626
M, Berthet, Emile, M2, 5948
F, Berthier, Cloe, M7, 7315
F, Berthier, Eva, M4, 9078
F, Berthon, Lena, ELITE_1, 3755
F, Bertrand, Chloe, M3, 9851
F, Betton, Amandine, M7, 10377
F, Billard, Ambre, M1, 7414
F, Billon, Sofia, M4, 6441
M, Bisson, Jean-Michel, M4, 10117
F, Bizet, Sarah, M9, 3702
F, Blais, Andrea, M7, 5572
M, Blais, Joël, M6, 10244
M, Blais, Joël, M4, 4306
F, Blanchard, Leane, M1, 9600
M, Blanchet, Thierry, M6, 7069
F, Blanco, Valentine, M1, 8448
M, Blandin, David, M4, 6666
F, Blin, Gabrielle, M2, 7716
F, Blin, Juliette, M1, 7261
F, Blondel, Elisa, M2, 4039
